eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
7.63,20.37,-35.19,42.4286,270.0000,40.6608,262.6976,819456,979712,1187584,979712
7.50,22.75,-38.44,49.5000,270.0000,44.6655,263.1200,818176,988672,1210624,986112
4.50,2.19,-9.75,0.0000,285.0000,9.9924,242.1454,854272,953088,1074432,957952
4.88,7.50,-13.00,7.0714,285.0000,15.0083,259.8566,842240,958976,1088768,954880
5.25,12.13,-16.25,14.1429,285.0000,20.2751,266.9786,835072,965632,1105920,955136
5.69,17.06,-19.31,21.2143,285.0000,25.7702,272.1480,829440,973568,1122304,951552
6.06,21.31,-22.50,28.2857,285.0000,30.9915,274.5099,825600,983808,1142016,952576
6.38,25.19,-25.37,35.3571,285.0000,35.7533,276.1625,824064,997120,1165568,954880
6.81,29.00,-28.31,42.4286,285.0000,40.5290,277.4998,822272,1012224,1188608,957952
7.13,31.94,-30.87,49.5000,285.0000,44.4215,278.0941,821248,1025536,1210368,960256
5.00,4.75,-9.69,0.0000,300.0000,10.7894,256.1198,852736,955904,1076224,954624
5.56,10.63,-11.44,7.0714,300.0000,15.6111,273.4534,842752,964608,1089280,947200
6.13,16.25,-13.00,14.1429,300.0000,20.8102,282.4652,836608,976384,1104896,947968
6.75,21.75,-14.94,21.2143,300.0000,26.3854,287.2695,829952,990208,1122560,946176
7.44,26.87,-16.87,28.2857,300.0000,31.7338,290.3125,828160,1007104,1142272,945664
7.94,31.00,-18.44,35.3571,300.0000,36.0686,292.1951,826624,1024768,1163264,943360
8.38,35.44,-20.44,42.4286,300.0000,40.9085,293.4021,827136,1046272,1188096,945920
8.88,39.38,-22.44,49.5000,300.0000,45.3192,294.1987,826368,1068288,1212928,948992
5.94,5.19,-8.69,0.0000,315.0000,10.1184,261.7799,850944,956928,1075712,954112
6.44,11.81,-9.19,7.0714,315.0000,14.9648,283.5625,841728,967680,1085440,946944
7.06,18.12,-9.69,14.1429,315.0000,20.5515,293.9388,838144,982272,1099008,943616
7.56,23.94,-10.00,21.2143,315.0000,25.9423,299.8896,835584,998912,1111808,937216
8.06,29.37,-10.50,28.2857,315.0000,31.1952,303.3932,835072,1019904,1131008,936192
8.44,34.19,-10.88,35.3571,315.0000,35.8755,305.7917,835072,1042944,1149696,935168
8.88,38.75,-11.13,42.4286,315.0000,40.3154,307.8564,836608,1071872,1172224,935424
9.19,43.00,-12.00,49.5000,315.0000,44.6430,308.5947,838656,1101824,1197824,938752
5.94,6.25,-6.25,0.0000,330.0000,8.8388,275.9375,854784,958208,1071616,950272
6.38,12.19,-5.50,7.0714,330.0000,13.3711,297.0862,851200,973312,1079808,945152
6.81,18.44,-4.31,14.1429,330.0000,18.9351,308.6478,849152,990720,1088768,936192
7.13,24.06,-3.38,21.2143,330.0000,24.2980,314.1408,843776,1008640,1099008,931584
7.56,29.50,-2.00,28.2857,330.0000,29.5677,318.6840,849920,1036032,1113856,931840
7.69,34.69,0.06,35.3571,330.0000,34.6876,322.7908,852224,1063936,1127936,926976
7.75,39.00,1.44,42.4286,330.0000,39.0265,324.8609,856064,1094400,1145856,927232
7.81,43.13,2.81,49.5000,330.0000,43.2166,326.5439,860416,1130240,1165824,926720
10.06,6.88,-6.38,0.0000,345.0000,9.3758,282.2236,856320,957440,1073152,953856
10.44,11.44,-4.69,7.0714,345.0000,12.3608,303.1519,853248,971264,1074688,943104
10.25,16.37,-2.00,14.1429,345.0000,16.4967,318.2865,854016,989952,1081600,934912
9.63,21.37,1.12,21.2143,345.0000,21.4046,327.6378,855808,1010688,1088768,932352
8.88,26.69,4.19,28.2857,345.0000,27.0140,332.7925,854016,1034752,1097728,929024
8.13,31.00,7.06,35.3571,345.0000,31.7943,335.9592,863488,1064448,1109760,925440
7.31,35.00,9.94,42.4286,345.0000,36.3834,338.1633,868352,1093632,1120000,922368
6.63,38.88,12.88,49.5000,345.0000,40.9516,339.9494,875264,1130752,1135872,925184
