eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
3.75,1.88,-25.56,28.2857,240.0000,25.6312,232.9451,852992,1036288,988928,903168
3.56,2.19,-30.12,35.3571,240.0000,30.2043,232.7157,850176,1038080,1011968,914688
3.44,2.63,-34.31,42.4286,240.0000,34.4128,232.8123,845824,1039616,1036544,927744
3.31,2.94,-38.44,49.5000,240.0000,38.5496,232.6827,846080,1045760,1068800,945408
3.13,2.50,-3.38,0.0000,255.0000,4.2001,264.6539,887296,1044480,924928,873216
3.06,4.81,-9.63,7.0714,255.0000,10.7611,254.6275,872192,1041920,937984,873472
3.06,6.56,-14.94,14.1429,255.0000,16.3155,251.7798,862720,1041408,952064,876288
3.00,7.81,-19.87,21.2143,255.0000,21.3553,249.4589,856832,1043968,969984,881920
3.00,9.31,-24.75,28.2857,255.0000,26.4440,248.6194,851712,1047296,990720,888064
2.94,10.63,-29.62,35.3571,255.0000,31.4727,247.6679,847616,1052416,1016832,896512
3.00,11.81,-34.19,42.4286,255.0000,36.1707,247.0611,845056,1059072,1045760,907264
2.94,12.75,-38.00,49.5000,255.0000,40.0819,246.4855,841216,1064704,1074176,918272
5.75,2.63,-3.88,0.0000,270.0000,4.6804,264.8645,887552,1044224,927232,876032
5.81,6.44,-9.00,7.0714,270.0000,11.0653,266.3878,872704,1046016,940288,873216
5.94,9.38,-13.81,14.1429,270.0000,16.6936,265.1036,862976,1049600,956672,873472
6.00,12.25,-18.56,21.2143,270.0000,22.2403,264.4221,856064,1056000,976384,875776
6.00,15.06,-23.19,28.2857,270.0000,27.6503,264.0076,851456,1063168,998912,879872
6.06,17.69,-27.56,35.3571,270.0000,32.7496,263.7518,847360,1071360,1023744,884480
6.06,20.12,-31.87,42.4286,270.0000,37.6966,263.3297,843520,1081856,1050112,890368
6.00,22.19,-35.75,49.5000,270.0000,42.0755,262.8250,843520,1092608,1079040,898304
6.94,4.06,-5.13,0.0000,285.0000,6.5398,270.3408,883456,1044736,930048,875264
7.13,8.75,-9.38,7.0714,285.0000,12.8239,275.1501,861440,1050368,944128,870912
7.44,13.50,-13.31,14.1429,285.0000,18.9598,277.8382,861440,1059584,961536,868608
7.94,17.87,-17.31,21.2143,285.0000,24.8845,278.8533,856064,1070848,982528,868608
8.50,21.87,-21.00,28.2857,285.0000,30.3235,279.6691,851200,1084672,1006336,870144
8.94,25.50,-24.56,35.3571,285.0000,35.4057,280.0104,848640,1098752,1030144,872192
9.06,28.56,-28.19,42.4286,285.0000,40.1292,279.4411,847616,1113600,1056000,875264
8.88,31.81,-31.94,49.5000,285.0000,45.0781,278.7626,847616,1134592,1087744,880384
6.88,3.19,-5.75,0.0000,300.0000,6.5744,260.8767,881920,1041920,929792,877824
7.25,9.19,-8.19,7.0714,300.0000,12.3063,280.5440,870912,1050368,940288,869888
7.69,14.69,-11.25,14.1429,300.0000,18.5009,285.2369,862720,1062400,956928,866560
8.25,20.06,-14.00,21.2143,300.0000,24.4643,288.3419,857856,1077760,975872,864256
8.81,25.06,-16.75,28.2857,300.0000,30.1445,290.0566,855552,1095936,997888,863744
9.38,29.75,-19.62,35.3571,300.0000,35.6399,290.9636,854528,1115392,1021440,863744
9.81,33.56,-22.37,42.4286,300.0000,40.3371,291.1224,854528,1138944,1048320,866048
10.25,37.44,-25.44,49.5000,300.0000,45.2618,291.0552,854784,1162752,1077248,868352
9.38,3.88,-5.94,0.0000,315.0000,7.0901,267.5047,882432,1043200,931328,878080
9.81,10.50,-7.19,7.0714,315.0000,12.7244,290.4199,873728,1054720,939520,868352
10.25,16.94,-8.56,14.1429,315.0000,18.9788,298.4318,868608,1068288,951296,862976
10.75,23.12,-9.94,21.2143,315.0000,25.1698,302.4954,864256,1085696,966656,858880
11.38,28.62,-11.38,28.2857,315.0000,30.8023,304.7031,863488,1106944,984576,856832
11.81,33.44,-13.06,35.3571,315.0000,35.8984,305.4742,863232,1131008,1006336,856576
