eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
347.25,7.50,4.63,0.0000,165.0000,8.8114,333.9107,1001216,887296,1487872,940032
347.31,1.75,1.81,7.0714,165.0000,2.5195,348.3176,1004288,872704,1482240,950528
347.31,-3.56,-1.37,14.1429,165.0000,3.8186,143.4174,1008896,864768,1480448,964096
347.19,-8.94,-4.25,21.2143,165.0000,9.8965,147.6197,1013248,856064,1479168,979968
347.06,-14.44,-6.75,28.2857,165.0000,15.9375,147.1201,1021952,849408,1478656,1001984
346.94,-19.06,-9.38,35.3571,165.0000,21.2431,148.1256,1029376,844288,1479936,1024512
346.94,-23.50,-11.69,42.4286,165.0000,26.2459,148.3805,1042432,842496,1485568,1052672
347.06,-27.81,-14.00,49.5000,165.0000,31.1374,148.7819,1055488,839936,1490432,1081088
348.94,5.38,4.56,0.0000,180.0000,7.0503,344.2633,1005312,886784,1486848,942080
348.94,0.63,-0.06,7.0714,180.0000,0.6281,298.2269,1003008,872192,1485824,959488
348.94,-3.63,-4.06,14.1429,180.0000,5.4447,172.1947,1004544,865280,1487104,967936
348.94,-8.25,-8.44,21.2143,180.0000,11.8006,169.5812,1006080,855808,1488640,985344
349.00,-12.50,-12.31,28.2857,180.0000,17.5456,168.5670,1011200,850176,1494528,1008640
349.00,-16.31,-16.00,35.3571,180.0000,22.8495,168.4459,1016320,844544,1500416,1032448
349.06,-19.94,-19.56,42.4286,180.0000,27.9320,168.5186,1023488,843008,1510912,1060352
349.06,-23.25,-23.19,49.5000,180.0000,32.8363,168.9853,1029120,840192,1519360,1088512
349.19,4.25,7.44,0.0000,195.0000,8.5661,4.4426,1010432,886784,1476608,937984
349.25,0.44,2.50,7.0714,195.0000,2.5380,24.3238,1005056,872192,1476096,946688
349.25,-3.06,-2.13,14.1429,195.0000,3.7275,159.0059,1002752,866816,1479168,956416
349.13,-6.81,-7.06,21.2143,195.0000,9.8127,170.1572,1003776,860416,1484032,971520
349.06,-10.50,-11.88,28.2857,195.0000,15.8514,172.5790,1003264,852992,1488896,988416
348.88,-13.63,-16.44,35.3571,195.0000,21.3502,174.2197,1007872,851200,1500928,1011456
348.75,-16.19,-20.69,42.4286,195.0000,26.2680,175.7076,1010176,848384,1512704,1035264
348.56,-18.81,-24.87,49.5000,195.0000,31.1877,176.4629,1014784,845568,1526016,1064448
346.63,6.25,3.63,0.0000,210.0000,7.2252,331.7388,1002496,886016,1484800,939264
346.44,4.63,-2.63,7.0714,210.0000,5.3180,271.8597,995328,875776,1495808,949504
346.56,2.38,-8.44,14.1429,210.0000,8.7654,227.2834,992256,871424,1505536,961536
346.81,0.12,-14.31,21.2143,210.0000,14.3130,212.3129,992256,867072,1518080,975872
347.00,-1.63,-20.00,28.2857,210.0000,20.0659,207.3549,991232,862976,1533952,993280
347.19,-3.38,-25.25,35.3571,210.0000,25.4746,204.5743,990208,860416,1549312,1012992
347.25,-5.06,-29.87,42.4286,210.0000,30.3009,202.6322,993280,858112,1566464,1038592
347.38,-6.38,-34.19,49.5000,210.0000,34.7768,201.8123,994304,855040,1580288,1061632
349.81,5.38,5.31,0.0000,225.0000,7.5573,349.4775,1010176,890368,1482752,939520
349.56,5.19,-1.37,7.0714,225.0000,5.3666,289.7171,999168,880640,1496832,947712
349.38,4.88,-8.13,14.1429,225.0000,9.4753,245.3388,996608,876800,1513728,958464
349.25,4.38,-14.38,21.2143,225.0000,15.0260,231.1775,991232,872704,1529088,969472
349.19,3.63,-20.62,28.2857,225.0000,20.9411,224.1558,987392,871168,1548544,983552
349.25,3.19,-26.19,35.3571,225.0000,26.3808,221.1898,984576,870144,1570560,999680
349.31,2.63,-31.31,42.4286,225.0000,31.4223,219.1045,983808,868608,1589248,1019136
349.44,2.38,-35.81,49.5000,225.0000,35.8912,218.2317,983296,866048,1603072,1036800
351.13,5.25,4.94,0.0000,240.0000,7.2070,349.3680,1011200,890112,1483008,940544
350.94,5.88,-1.06,7.0714,240.0000,5.9703,295.6863,999936,885504,1502464,946432
