"[47, 65, 79, 63]","[1472512, 1817856, 1190144, 1050880]"
"[41, 66, 87, 66]","[1528064, 2047488, 1195008, 1040384]"
"[38, 66, 97, 69]","[1583360, 2305792, 1202944, 1025280]"
"[32, 69, 108, 73]","[1650176, 2582272, 1216256, 1014016]"
"[29, 70, 117, 80]","[1728000, 2887680, 1236736, 1005056]"
"[25, 72, 131, 88]","[1813504, 3216640, 1265664, 998656]"
"[29, 70, 117, 79]","[1713408, 2777344, 1234944, 1007360]"
"[33, 68, 105, 73]","[1632768, 2436864, 1215232, 1017856]"
"[38, 66, 97, 69]","[1563427, 2146816, 1203968, 1031168]"
"[43, 63, 86, 65]","[1518592, 1897472, 1196544, 1046784]"
"[48, 63, 79, 62]","[1465600, 1682432, 1191168, 1061888]"
"[51, 64, 72, 61]","[1420032, 1504768, 1186304, 1073664]"
"[55, 64, 65, 59]","[1384960, 1460736, 1181696, 1078016]"
"[57, 64, 61, 57]","[1360640, 1424128, 1178624, 1088512]"
"[56, 67, 66, 56]","[1475584, 1465088, 1165312, 1075712]"
"[53, 72, 70, 54]","[1600768, 1506816, 1153792, 1067776]"
"[49, 77, 76, 52]","[1745920, 1627648, 1138688, 1059328]"
"[46, 83, 85, 50]","[1906688, 1767168, 1124352, 1050624]"
"[42, 89, 95, 50]","[2099712, 1946112, 1113856, 1043456]"
"[41, 97, 107, 48]","[2347264, 2181120, 1109504, 1041408]"
"[37, 106, 115, 47]","[2612224, 2434048, 1108736, 1041664]"
"[33, 116, 127, 48]","[2883584, 2696192, 1116672, 1049344]"
"[37, 107, 116, 48]","[2484480, 2340096, 1113344, 1044736]"
"[39, 98, 106, 50]","[2168064, 2050560, 1115392, 1045504]"
"[42, 90, 96, 49]","[1919488, 1826048, 1123328, 1050880]"
"[45, 85, 86, 51]","[1725440, 1663744, 1135872, 1060352]"
"[49, 77, 78, 53]","[1568512, 1534464, 1147904, 1069824]"
"[53, 73, 70, 54]","[1443072, 1480704, 1161472, 1079040]"
"[57, 69, 66, 56]","[1350912, 1450496, 1172992, 1089024]"
"[58, 64, 59, 57]","[1283328, 1423872, 1179904, 1094912]"
"[59, 72, 62, 54]","[1444096, 1429760, 1152512, 1094656]"
"[60, 76, 65, 49]","[1591040, 1438976, 1138176, 1099008]"
"[60, 86, 68, 46]","[1799680, 1451264, 1120768, 1106944]"
"[60, 93, 71, 41]","[2007552, 1458176, 1103104, 1113344]"
"[59, 103, 76, 37]","[2276352, 1469440, 1084160, 1123328]"
"[61, 117, 83, 33]","[2550272, 1483264, 1069824, 1135360]"
"[63, 133, 91, 29]","[2881536, 1506816, 1057024, 1153280]"
"[68, 154, 102, 25]","[3188224, 1539328, 1046528, 1172736]"
"[65, 132, 91, 30]","[2754304, 1498368, 1057024, 1143552]"
"[63, 117, 82, 33]","[2362112, 1475072, 1072640, 1124096]"
"[61, 103, 78, 38]","[2077952, 1461248, 1087744, 1112064]"
"[60, 93, 72, 41]","[1806592, 1448448, 1108992, 1102080]"
"[61, 85, 70, 46]","[1615104, 1443328, 1130752, 1098752]"
"[60, 77, 66, 51]","[1446144, 1438208, 1149696, 1094400]"
"[60, 70, 64, 53]","[1348864, 1435392, 1160704, 1093888]"
"[60, 63, 61, 57]","[1269760, 1430272, 1169408, 1096704]"
"[63, 69, 59, 54]","[1378816, 1404672, 1144832, 1111808]"
"[67, 75, 57, 51]","[1473792, 1392128, 1133312, 1130752]"
"[69, 80, 56, 48]","[1590528, 1377280, 1122048, 1153024]"
"[75, 86, 54, 44]","[1745664, 1351936, 1112832, 1182720]"
"[79, 94, 54, 42]","[1922304, 1336576, 1103872, 1244672]"
"[86, 104, 52, 38]","[2127104, 1319936, 1097984, 1383680]"
"[95, 115, 52, 34]","[2365440, 1305088, 1092352, 1549568]"
"[104, 132, 53, 32]","[2614528, 1294848, 1087232, 1701632]"
"[95, 119, 53, 36]","[2298624, 1298688, 1095168, 1494528]"
"[87, 104, 53, 38]","[2043392, 1310208, 1104896, 1315328]"
"[80, 95, 53, 41]","[1827584, 1325312, 1116416, 1194752]"
"[74, 87, 54, 44]","[1656832, 1343232, 1130752, 1155328]"
"[69, 81, 55, 49]","[1529600, 1367808, 1147136, 1128704]"
"[67, 75, 57, 52]","[1444864, 1394176, 1164800, 1111552]"
"[63, 69, 60, 53]","[1376512, 1410304, 1172480, 1100032]"
"[59, 64, 60, 57]","[1325056, 1430528, 1176576, 1090048]"
"[64, 65, 55, 56]","[1324800, 1381632, 1168384, 1113856]"
"[69, 67, 52, 56]","[1337600, 1355264, 1169408, 1138432]"
"[76, 68, 47, 57]","[1366272, 1325312, 1172224, 1173760]"
"[82, 71, 44, 56]","[1394176, 1305344, 1179648, 1229824]"
"[90, 73, 39, 56]","[1408768, 1272832, 1192960, 1410048]"
"[100, 77, 36, 58]","[1430272, 1245184, 1209856, 1606912]"
"[110, 81, 31, 60]","[1460992, 1218816, 1230592, 1821184]"
"[122, 86, 27, 62]","[1501696, 1199872, 1254912, 2043136]"
"[111, 80, 32, 60]","[1460736, 1219840, 1232384, 1747968]"
"[100, 77, 36, 58]","[1427968, 1241600, 1211904, 1495808]"
"[90, 73, 40, 58]","[1409792, 1266432, 1198336, 1294592]"
