"[59, 83, 55, 35]","[6491136, 3292160, 1323264, 3435776]"
"[56, 75, 53, 40]","[5528064, 3175936, 1646080, 3257600]"
"[58, 68, 51, 44]","[4733952, 3113728, 1967360, 3154688]"
"[59, 63, 48, 47]","[3965440, 3039488, 2329856, 3026944]"
"[58, 55, 46, 54]","[3346432, 3070208, 2893056, 3014400]"
"[63, 61, 45, 49]","[3815936, 2640896, 2442240, 3427584]"
"[66, 68, 43, 45]","[4385792, 2341632, 2121984, 3961088]"
"[70, 73, 42, 42]","[5052672, 2135552, 1917952, 4601088]"
"[76, 80, 39, 40]","[5779456, 1991424, 1762304, 5255424]"
"[83, 87, 38, 36]","[6553344, 1881344, 1642752, 5940224]"
"[93, 97, 36, 34]","[7286528, 1763840, 1529856, 6527488]"
"[102, 110, 35, 30]","[7965440, 1663744, 1448192, 7032832]"
"[116, 127, 34, 27]","[8387072, 1581312, 1391616, 7302656]"
"[104, 112, 35, 30]","[7523328, 1606144, 1422336, 6586624]"
"[94, 97, 35, 34]","[6671872, 1689344, 1515520, 5868032]"
"[84, 86, 38, 37]","[5939200, 1832448, 1652224, 5219328]"
"[78, 80, 39, 40]","[5262080, 1991424, 1803264, 4581376]"
"[71, 74, 41, 44]","[4642048, 2184960, 1980672, 4007936]"
"[67, 67, 43, 47]","[4092160, 2439936, 2213120, 3469568]"
"[62, 61, 46, 50]","[3628800, 2752256, 2511872, 3026176]"
"[59, 55, 47, 53]","[3212236, 3169792, 2927104, 2641408]"
"[64, 57, 43, 53]","[3189248, 2567936, 2886144, 3208192]"
"[70, 58, 38, 54]","[3201792, 2132224, 2919936, 3870208]"
"[79, 61, 34, 56]","[3260672, 1814528, 2996736, 4607488]"
"[89, 64, 29, 56]","[3349504, 1562368, 3081216, 5330688]"
"[100, 69, 26, 58]","[3467008, 1457920, 3194368, 5942784]"
"[112, 74, 21, 60]","[3571456, 1394432, 3283712, 6365952]"
"[129, 79, 16, 63]","[3694080, 1342976, 3335168, 6569472]"
